epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.648,2.09384,2.17164,2.11343,0.35535,0.17178,0.16636,0.08135,2.54052,3.1703,2.45538,0.000332196,0.000332196,0.0671126
2,532.126,2.20694,2.17316,2.26832,0.35948,0.3314,0.28956,0.15305,2.13271,2.26333,2.23573,0.000665275,0.000665275,0.0341124
3,778.47,2.17485,2.16005,2.25671,0.32725,0.35749,0.2653,0.13599,2.33609,2.41223,2.37085,0.000997338,0.000997338,0.0011111
4,1024.35,2.16758,2.13505,2.25265,0.43701,0.34804,0.32952,0.18194,2.16667,2.0277,2.23555,0.000996569,0.000996569,0.000996569
5,1270.44,2.11572,2.05402,2.20978,0.43707,0.39985,0.35902,0.20632,2.07093,1.8873,2.14676,0.000993906,0.000993906,0.000993906
6,1516.77,2.07213,1.97297,2.16189,0.5127,0.40536,0.41739,0.24036,1.99595,1.75094,2.09078,0.000990489,0.000990489,0.000990489
7,1763,2.03382,1.91194,2.13242,0.48548,0.41376,0.4152,0.24725,1.97312,1.78893,2.07609,0.000986323,0.000986323,0.000986323
8,2008.51,2.00812,1.8777,2.1098,0.49733,0.44042,0.44017,0.26288,1.94796,1.62669,2.04453,0.000981415,0.000981415,0.000981415
9,2255.1,1.98696,1.83322,2.08592,0.47937,0.46034,0.45078,0.26933,1.9217,1.66696,2.02786,0.000975773,0.000975773,0.000975773
10,2501.3,1.95658,1.78486,2.0594,0.50129,0.47461,0.46242,0.2805,1.91001,1.54861,2.01025,0.000969405,0.000969405,0.000969405
11,2747.06,1.92863,1.76057,2.05561,0.55031,0.46107,0.48264,0.29101,1.91065,1.5686,2.00534,0.00096232,0.00096232,0.00096232
12,2993.09,1.92101,1.74386,2.04121,0.47888,0.46603,0.45875,0.28035,1.8684,1.59818,1.98143,0.000954531,0.000954531,0.000954531
13,3239.25,1.90512,1.72044,2.02535,0.53305,0.50678,0.50517,0.32227,1.81246,1.49118,1.94596,0.000946048,0.000946048,0.000946048
14,3485.51,1.90298,1.71155,2.02257,0.53484,0.51456,0.5088,0.3231,1.82702,1.50494,1.94816,0.000936886,0.000936886,0.000936886
